Fecha,Ciudad,Sucursal,Categoría,Producto,Precio,Stock,Q0,Variación diaria precio
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Fructis Hair Food Coco 300 ml,75.0,18.0,18.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Fructis Hair Food Sandia 300 ml,75.0,19.0,19.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Head Shoulders Anticaida Cafeina 300 ml,59.4,4.0,4.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Herbal Essences Agua de Coco 400 ml,61.0,15.0,15.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Herbal Essences Coconut Milk 400 ml,103.5,3.0,3.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Herbal Essences Granada 400 ml,61.0,13.0,13.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Herbal Essences Lavanda 400 ml,61.0,9.0,9.0,0.0
2026-06-12,La Paz,Calacoto,Panadería,Acondicionador Johnsons 200 ml KNV,38.2,11.0,11.0,0.0
2026-06-12,La Paz,Calacoto,Panadería,Acondicionador Johnsons Baby Cabello Claro 200 ml KNV,38.2,7.0,7.0,0.0
2026-06-12,La Paz,Calacoto,Panadería,Acondicionador Johnsons Gotas de Brillo 200 ml KNV,38.2,13.0,13.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Liz Extracto de Palta 900 ml,34.0,1.0,1.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Liz Manzanilla 900 ml,34.0,1.0,1.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Pantene 3MM Hidratacion Extrema 170 ml,60.5,6.0,6.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Pantene 3MM Reparacion 170 ml,60.5,5.0,5.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Pantene Anticaída 250 ml,47.5,3.0,3.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Pantene Anticaída 510 ml,87.5,3.0,3.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Pantene Colageno 510 ml,87.5,4.0,4.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Pantene Hidratacion Extrema 400 ml,60.5,6.0,6.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Pantene Keratina 250 ml,47.5,4.0,4.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Pantene Keratina 510 ml,87.5,1.0,1.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Pantene Pro V Rizos Definidos 400 ml,60.5,5.0,5.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Revive Aceite de Cusi 340 ml,21.3,5.0,5.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Revive Ceramidas 340 ml,21.3,6.0,6.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Revive Ceramidas 600 ml,31.0,6.0,6.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Revive Colageno 340 ml,21.3,5.0,5.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Revive Control Caida 340 ml,21.3,5.0,5.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Revive Control Caida 600 ml,31.0,9.0,9.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Revive Curly sin Sal 340 ml,21.3,2.0,2.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Revive Hidratacion Profunda 340 ml,21.0,8.0,8.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Revive Hidratacion Profunda 600 ml,31.0,7.0,7.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Revive Liso Sedoso 340 ml,21.3,12.0,12.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Revive Liso Sedoso 600 ml,31.0,5.0,5.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Revive Reparacion Intensa 340 ml,21.0,3.0,3.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Revive Reparacion Intensa 600 ml,31.0,8.0,8.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Sedal Luminous 340 ml,26.8,1.0,1.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Selfy Hierbas Doypack 900 ml,26.5,47.0,47.0,0.0
2026-06-12,La Paz,Calacoto,Panadería,Acondicionador Simonds Balsamo Extra Suave 610 ml,80.7,7.0,7.0,0.0
2026-06-12,La Paz,Calacoto,Panadería,Acondicionador Simonds Balsamo Manzanilla 410 ml,60.0,6.0,6.0,0.0
2026-06-12,La Paz,Calacoto,Panadería,Acondicionador Simonds Balsamo Manzanilla 610 ml,95.0,5.0,5.0,0.0
2026-06-12,La Paz,Calacoto,Panadería,Acondicionador Simonds Balsamo Xtra Suave 400 ml,60.0,5.0,5.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Skala Keratina 1 kg,43.0,3.0,3.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Skala Oleo Coco 1 kg,43.0,3.0,3.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Tio Nacho Celulas Madre 415 ml,64.9,5.0,5.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Tio Nacho Engrosador 415 ml,64.9,3.0,3.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Tresemme Liso Botox 880 ml,79.6,4.0,4.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Tresemme Liso Keratina 500 ml,53.9,9.0,9.0,0.0
2026-06-12,La Paz,Calacoto,Bebidas,Agua Carbonatada Saratoga 355 ml,34.9,3.0,3.0,0.0
2026-06-12,La Paz,Calacoto,Bebidas,Agua Cielo Sin Gas 625 ml,3.5,15.0,15.0,0.0
2026-06-12,La Paz,Calacoto,Bebidas,Agua Con Gas Maison Perrier Ultimate 330 ml,27.0,7.0,7.0,0.0
2026-06-12,La Paz,Calacoto,Bebidas,Agua Con Gas Tuscany Panna 750 ml,49.9,45.0,45.0,0.0
2026-06-12,La Paz,Calacoto,Bebidas,Agua De Coco Goya Libre De Grasa Lata 330 ml,24.5,16.0,16.0,0.0
2026-06-12,La Paz,Calacoto,Bebidas,Agua Doña Maria Limon con Gas 473 ml,19.5,17.0,17.0,0.0
2026-06-12,La Paz,Calacoto,Bebidas,Agua Doña Maria Pomelo con Gas 473 ml,19.5,16.0,16.0,0.0
2026-06-12,La Paz,Calacoto,Bebidas,Agua Fentimans Pink Grapefruit 200 ml,20.0,8.0,8.0,0.0
2026-06-12,La Paz,Calacoto,Bebidas,Agua Ginger Ale Fentimans 200 ml,20.0,1.0,1.0,0.0
2026-06-12,La Paz,Calacoto,Bebidas,Agua Glacial Sin Gas 2.5 L,6.7,10.0,10.0,0.0
2026-06-12,La Paz,Calacoto,Bebidas,Agua Glaciar Bidon 6 L,20.0,34.0,34.0,0.0
2026-06-12,La Paz,Calacoto,Bebidas,Agua Ionica Alcalina 2 L,9.0,20.0,20.0,0.0
2026-06-12,La Paz,Calacoto,Bebidas,Agua Ionica Alcalina 600 ml,5.0,42.0,42.0,0.0
2026-06-12,La Paz,Calacoto,Bebidas,Agua Luvia Sin Gas 600 ml,4.0,50.0,50.0,0.0
